batch_train_samples,val_samples_seen,batch_train_loss,batch_val_acc,batch_val_loss,batch_lr,batch_train_acc,test_acc,lr,avg_test_loss,avg_train_loss,train_acc,epochs,Smoth_loss,Smooth_train,best_loos,diverge
512,30000,0.010353439,0.004633333,0.010421416,0.011532621,0.00390625,,,,,,,0.010421952,0.010441652,0.010421952,No
512,30000,0.010352233,0.004633333,0.010421444,0.011598589,0.005859375,,,,,,,0.010421927,0.010437181,0.010421927,No
512,30000,0.010344528,0.004766667,0.01042137,0.011664934,0.00390625,,,,,,,0.010421899,0.010432548,0.010421899,No
512,30000,0.010347815,0.004866667,0.010421299,0.011731658,0,,,,,,,0.010421869,0.010428312,0.010421869,No
512,30000,0.010348518,0.004866667,0.010421214,0.011798764,0.009765625,,,,,,,0.010421836,0.010424322,0.010421836,No
512,30000,0.010349814,0.004933333,0.010421188,0.011866254,0,,,,,,,0.010421804,0.010420597,0.010421804,No
512,30000,0.010347366,0.004966667,0.010421125,0.01193413,0.0078125,,,,,,,0.01042177,0.010416935,0.01042177,No
512,30000,0.010351179,0.004866667,0.010421053,0.012002394,0.00390625,,,,,,,0.010421734,0.010413647,0.010421734,No
512,30000,0.010349181,0.005,0.010420998,0.012071049,0.001953125,,,,,,,0.010421697,0.010410424,0.010421697,No
512,30000,0.01034116,0.0049,0.010420955,0.012140096,0.0078125,,,,,,,0.01042166,0.010406961,0.01042166,No
512,30000,0.010347929,0.0048,0.010420921,0.012209538,0.009765625,,,,,,,0.010421623,0.010404009,0.010421623,No
512,30000,0.010348328,0.0049,0.010420843,0.012279378,0.0078125,,,,,,,0.010421584,0.010401225,0.010421584,No
512,30000,0.010347636,0.004933333,0.010420847,0.012349617,0.0078125,,,,,,,0.010421547,0.010398546,0.010421547,No
512,30000,0.010348171,0.0049,0.01042076,0.012420258,0.0078125,,,,,,,0.010421508,0.010396027,0.010421508,No
512,30000,0.010348676,0.004866667,0.010420773,0.012491303,0,,,,,,,0.010421471,0.010393659,0.010421471,No
512,30000,0.010351288,0.005033333,0.010420699,0.012562754,0.00390625,,,,,,,0.010421433,0.010391541,0.010421433,No
